,Stochastic Scores,Steps
0,-0.08314419717029692,999
1,-0.1084846780777369,999
2,-0.02430032553558112,999
3,-0.0065863150243136645,999
4,-0.2384631662500855,999
5,-27.260955581207554,999
6,-44.86153349277665,999
7,-41.05162640858255,999
8,-45.972499754970826,999
9,-42.56912913447462,999
10,-47.77639703921136,999
11,-49.8845750285539,999
12,-49.22945707466695,999
13,-52.69031374991911,999
14,-43.6132371602915,999
15,-33.175024147872904,999
16,70.8213240864713,976
17,75.9055264159054,858
18,85.83901774663696,498
19,82.20404799376868,595
20,81.20194933599748,646
21,-29.9523234776987,999
22,-29.38679232035522,999
23,-36.09553210838349,999
24,-37.41330941314235,999
25,-37.23127829880936,999
26,-35.41903811911896,999
27,-36.25593678820549,999
28,-34.48208867533912,999
29,-34.34738856306981,999
30,-35.7902487695582,999
31,-36.19538704075273,999
32,-36.68456783207231,999
33,-37.594483499951096,999
34,-37.59547782199639,999
35,84.89377128575137,392
36,-36.55733076540032,999
37,-35.62470658181574,999
38,73.06216453463043,835
39,72.93695419603743,806
40,-35.824593463810636,999
41,81.63671013266922,532
42,76.95445098129326,679
43,85.82993561690033,387
44,-37.17332751519518,999
45,86.84465182419552,365
46,70.64172542876113,769
47,87.3889542577675,319
48,89.1635142775075,264
49,83.96072389532326,440
50,85.29265305260968,409
51,90.28053976841241,227
52,87.84578365843421,281
53,92.31677346758191,197
54,93.60414818739123,154
55,91.72667851692185,227
56,88.04389170442555,264
57,92.00397974720117,184
58,91.73233653403487,179
59,93.53420557803915,139
60,92.74707590873143,176
61,92.38315458571734,179
62,90.82397781466796,221
63,88.30216386357321,250
64,92.91889814295163,186
65,89.09515429341306,257
66,88.82010288337656,294
67,89.4236145128185,309
68,88.11630184705423,303
69,88.78897944565782,274
70,88.87032614867749,287
71,92.87300254520979,192
72,90.3861614611379,237
73,91.49085754943621,215
74,89.96580973162793,248
75,87.13882078696817,323
76,88.88296689151336,300
77,91.8862088757275,166
