,Stochastic Scores,Steps
0,-17.063146753647267,999
1,-34.29217525179171,999
2,-32.911294704714486,999
3,-34.27800690287889,999
4,-34.17487475118888,999
5,-35.43589420178233,999
6,-33.51722769798611,999
7,-34.11094123413596,999
8,-33.744012508752235,999
9,-34.1966604435697,999
10,-35.21782301439789,999
11,-35.13076897111099,999
12,-34.614015433536224,999
13,-33.75261894347645,999
14,-36.186571920889335,999
15,-35.15445287076373,999
16,-35.33463762165913,999
17,-34.58611370839036,999
18,-35.32716022045547,999
19,-33.954844712895685,999
20,-33.88535861182795,999
21,-34.2493324675996,999
22,-33.60329321024855,999
23,-33.09481072891173,999
24,-33.212923561535106,999
25,-32.53807591445703,999
26,-34.251819000360804,999
27,-34.178393357206446,999
28,-31.31623123891897,999
29,-31.479963501213444,999
30,-32.98119094273693,999
31,-32.60306128635005,999
32,-33.54586719102568,999
33,-31.209970380230775,999
34,-33.145604076994765,999
35,-33.5504248101037,999
36,-33.849957919882094,999
37,-34.11386056278896,999
38,-32.3768322517617,999
39,-32.94151087680944,999
40,-32.7835286872037,999
41,-33.199863920052245,999
42,-34.54134794716513,999
43,-31.865787652593212,999
44,-33.57071701444611,999
45,-31.382070517582026,999
46,-31.51970157403585,999
47,-33.14987233557081,999
48,-33.20308504149791,999
49,-31.566381226842353,999
50,-32.64561033830436,999
