,Stochastic Scores,Steps
0,-0.05319801617946184,999
1,-0.09359036957558324,999
2,-0.002115402328615534,999
3,-0.0014139110355279314,999
4,-0.0008419476690455442,999
5,-0.0003418399191282792,999
6,-0.00041677097469445406,999
7,-0.0005510418076701538,999
8,-0.0008536249833821345,999
9,-0.0027119290201999932,999
10,-0.0063231950943595065,999
11,-0.006026874992370342,999
12,-0.0034593434264525223,999
13,-0.009348046126266385,999
14,-0.01285589931936363,999
15,-0.011046826210033365,999
16,-0.04425914197397063,999
17,-0.001756613858375485,999
18,-0.006694203254691072,999
19,-0.0032420433679496894,999
20,-0.0025203991391045703,999
21,-0.005948503662567366,999
22,-0.004007284398262723,999
23,-0.015085931909139318,999
24,-0.01161375774446722,999
25,-0.006285117717928596,999
26,-0.007406862531188275,999
27,-0.005931740671665086,999
28,-0.011656376471083718,999
29,-0.01220858953649924,999
30,-0.0208874121679634,999
31,-0.007936155830172134,999
32,-0.011060566730441526,999
33,-0.01737107138249693,999
34,-0.020319474310933006,999
35,-0.025555022449448673,999
36,-0.02167809850685436,999
37,-0.024004386650406676,999
38,-0.025516353103855208,999
39,-0.021888316283773763,999
40,-0.022069699452021672,999
41,-0.020883852469976906,999
42,-0.03182174456411461,999
43,-0.02393939717477402,999
44,-0.02373229821029973,999
45,-0.029692556435480157,999
46,-0.02592122321398354,999
47,-0.030434212808650978,999
48,-0.029086296747609205,999
49,-0.03130010709586443,999
50,-0.030631298601656927,999
