,Scores,Steps
0,-0.11170489475078771,999
1,-0.05372718885715581,999
2,-0.033041850890789835,999
3,-0.04884697899853277,999
4,-0.06376106335150572,999
5,-0.05723697435331287,999
6,-0.11309234832369477,999
7,-1.5510773260338486,999
8,-26.884334963834995,999
9,63.936780045849034,969
10,-43.530780892553274,999
11,-34.723366748404814,999
12,-33.12269568712887,999
13,-33.97704539781593,999
14,-32.64040528288775,999
15,-32.23458361952895,999
16,-33.141747871846015,999
17,-29.080398724649267,999
18,-28.656534304222507,999
19,-29.594903518830552,999
20,-29.618848144033585,999
21,-30.172934417931522,999
22,-28.30420664539263,999
23,-30.585181403824677,999
24,-28.265512520437184,999
25,-30.355171544950412,999
26,-31.807550984786783,999
27,-31.01730066241557,999
28,-34.991015655464594,999
29,-36.14872920536235,999
30,-33.45852469025829,999
31,-36.37493211972006,999
32,-32.82280271080029,999
33,-33.65797911885023,999
34,-33.52371554943907,999
35,-32.77135953374285,999
36,-31.97173709541805,999
37,-33.735792190836904,999
38,-33.72847718561228,999
39,-33.073063834352794,999
40,-33.6309808509989,999
41,-32.827521221744306,999
42,-33.404439071307415,999
43,-34.71629719856087,999
44,-31.899973983064815,999
45,-34.499744807346964,999
46,66.53125033959961,989
47,-31.964197222381518,999
48,68.28301658525015,942
49,80.98947001814565,566
50,71.30710526699332,840
51,-32.37670784399728,999
52,-32.966769573137306,999
53,74.49162544533857,723
54,-32.79840632527717,999
55,67.26054744201839,947
56,-33.13171858299681,999
57,78.83844801064369,574
58,-32.648035489853925,999
59,-32.4047628157462,999
60,83.58871400693879,466
61,79.17070694470269,599
62,-33.414318084821026,999
63,-32.79916399669776,999
64,85.24965453748867,394
65,87.61329074546315,322
66,85.89000197363586,374
67,-32.35896324722247,999
68,65.05401883725034,950
69,83.87832419420363,422
70,-32.304248834155736,999
71,-34.000832501866654,999
72,-33.08355769049004,999
73,-31.629686455219392,999
74,-32.833191006049155,999
75,-32.668392598737746,999
76,-33.416718134541306,999
77,-34.32037984928546,999
78,-32.68988492541441,999
79,-33.02719668763261,999
80,-34.61512412696059,999
81,-34.91420269059976,999
82,-33.18116642786726,999
83,-31.995444439330925,999
84,-33.330832478000126,999
85,-34.743274524526186,999
86,-34.05238944351806,999
87,-33.82867257894917,999
88,-31.21359175334622,999
89,-34.44100854302215,999
90,-33.617860954829894,999
91,-33.39757504516729,999
92,-32.64388665193439,999
93,-31.908973544237966,999
94,-32.74366935285073,999
95,-32.60673432370132,999
96,-32.239982358686795,999
97,82.12920149266174,485
98,74.22390121973149,695
99,73.87537435114629,763
100,-34.52254784240529,999
101,78.29904371430376,581
102,-33.40612813548221,999
103,90.3138801080215,238
104,82.19920223656815,478
105,86.74498609990951,364
106,90.73852764938667,237
107,78.72409820859966,621
108,75.1642813587183,664
109,75.1849778466631,685
110,81.66870316743889,510
111,89.2409567933439,275
112,75.6385530481061,735
113,85.52667292154737,370
114,89.05689392039251,266
115,90.33472449069527,249
116,85.03629871010493,396
117,86.29129045746994,354
118,87.99137711834035,317
119,78.55719451195398,617
120,71.8534263994114,805
121,83.37884688297387,457
122,76.06866256281906,672
123,-31.856850087748427,999
124,-33.239062246861145,999
125,76.81819886596438,689
126,-31.678474677604836,999
127,88.87887411559531,291
128,77.41759671364196,651
129,88.60082196341541,316
130,75.74814276370994,728
131,83.76981219566464,427
132,87.69034243293791,310
133,69.65730558115409,890
134,94.23975669610982,117
135,95.69516160399115,82
136,90.62696457429246,244
137,78.90251619271453,587
138,87.52581496325564,327
139,91.41689474631119,212
140,93.7676596949564,151
141,93.18673843895488,153
142,88.36275457318594,291
143,86.88943202900785,371
144,82.88670989253906,513
145,90.92682653325514,228
146,83.76316641158358,452
147,81.86042681964193,510
148,88.66399196198466,276
149,91.2634506542149,227
150,80.8875040211804,495
151,78.52604160965396,583
152,85.92457804622178,361
153,85.98713686610311,380
154,88.7952528089355,316
155,78.87646764875896,591
156,84.8730840291686,409
157,94.7898952549093,95
158,93.1762429634953,156
159,91.00163564955126,241
160,92.16576109334964,191
161,90.42034056748267,227
162,92.44756314715241,177
163,88.28182054761743,304
164,87.35761509609486,319
