,Scores,Steps
0,-20.948131826860532,999
1,-33.89166883358278,999
2,-32.234357177685396,999
3,-32.89429197863302,999
4,-32.586534722262265,999
5,-31.855106961970336,999
6,-33.05285862625264,999
7,-32.17451394059149,999
8,-33.26385178947338,999
9,-31.80773679917471,999
10,-31.368907323170195,999
11,-32.90373185770147,999
12,-33.86045072785641,999
13,-31.751198276026443,999
14,-29.873385293012387,999
15,-31.881792362639,999
16,-32.72491325825755,999
17,-30.908141864542763,999
18,-33.87012599674801,999
19,-32.03623655467292,999
20,-30.58615786830067,999
21,-30.71632554411012,999
22,-33.922132099985056,999
23,-33.67716543391726,999
24,-30.719671282747758,999
25,-32.90183758927326,999
26,-33.61653971015981,999
27,-31.5321566369809,999
28,-33.5689980418959,999
29,-30.985739266653297,999
30,-32.48699952811429,999
31,-31.239629792537013,999
32,-30.957247897815694,999
33,-33.090613396248436,999
34,-29.19457851348235,999
35,-30.931679041168252,999
36,-30.485960692634695,999
37,-30.699725208242665,999
38,-31.30439239418968,999
39,-30.794955036539967,999
40,-29.510049604437057,999
41,-31.251679747693142,999
42,-29.610861273824323,999
43,-31.312093544778566,999
44,-29.845132390382147,999
45,-30.849512233201068,999
46,-30.564505927474986,999
47,-32.728783182083596,999
48,-29.10709212390228,999
49,-32.57507731944559,999
50,-31.213468152762445,999
