,Stochastic Scores,Steps
0,-16.68003160627361,999
1,-31.9045500135221,999
2,-32.17919263529173,999
3,-36.220946763760935,999
4,-34.9104883728919,999
5,-33.213223023123874,999
6,-33.937225818319895,999
7,-35.99999051150221,999
8,-34.378081631595045,999
9,-34.21173430536203,999
10,-34.03452409629482,999
11,-35.78665765616663,999
12,-36.63651472509373,999
13,-32.72534767129868,999
14,-33.32188609500949,999
15,-32.04186979779257,999
16,-34.077671251319856,999
17,-34.82308436208285,999
18,-34.11802216747511,999
19,-33.224709652103485,999
20,-34.72869037113566,999
21,-34.37097724454648,999
22,-34.12254321827033,999
23,-33.58174045684642,999
24,-32.915507843033495,999
25,-34.073320818004845,999
26,-33.1030572011742,999
27,-34.82831499813944,999
28,-33.52093331153719,999
29,-34.24398616247992,999
30,-34.200428169870484,999
31,-35.51309566455634,999
32,-35.14571998986768,999
33,-34.36502802920387,999
34,-33.75289066694391,999
35,-33.72880186474855,999
36,-34.314702362400226,999
37,-33.77495173560404,999
38,-31.282774659669894,999
39,-33.00537082466806,999
40,-30.26685028830447,999
41,-31.08049145085378,999
42,-33.26434950438402,999
43,-32.82863129436542,999
44,-33.438521169008006,999
45,-31.64923885321521,999
46,-33.728546371826155,999
47,-33.36205087237414,999
48,-33.978829603896806,999
49,-33.55795587790654,999
50,-33.0430434687551,999
