,0
0,-344.0240161307087
1,-135.0922105793092
2,-301.5889300283744
3,-406.6830485189598
4,25.41558084403117
5,-604.9155710147155
6,-438.2049011820324
7,-291.0261305330451
8,-444.6884228268431
9,-275.3878951667258
10,-282.64839792927734
11,-337.02766313336724
12,-262.05025034598043
13,-253.63473410180995
14,-184.33379971964195
15,-220.6819937132961
16,-128.51537926350323
17,-310.26898475165353
18,-359.34106429729206
19,-195.132313430559
20,-271.03710367003805
21,-265.9994453353873
22,-112.33854133971464
23,-105.723016536975
24,-250.54757676046626
25,-189.65339655767195
26,-221.24634712531906
27,-86.57048651018422
28,-59.87679726639822
29,-251.03991005150664
30,-273.5157910964481
31,-367.9514672420583
32,-105.27058077588352
33,-65.7495254771219
34,-58.66267143520059
35,-11.177727089991699
36,6.172409694879531
37,-24.72339655959265
38,-64.43906657324861
39,-51.781143648143235
40,-58.827012858523105
41,-31.033173872152933
42,-45.609539257991834
43,-34.01734391850363
44,-87.15938926435626
45,-21.064519609015164
46,-27.42316891087904
47,-19.76454205180739
48,-47.74139836036278
49,-77.93349251451114
50,-68.350481598466
51,-52.41639726953679
52,-43.624432874251006
53,-72.57138866792016
54,-62.84430735316732
55,-34.65062372480806
56,-31.823165461061997
57,-43.23692897313001
58,-45.31111350989098
59,-25.114619832489943
60,-27.878836816543526
61,-33.05223918922144
62,-6.291836349770081
63,-37.76773635208509
64,-13.71272549954989
65,-13.878170801193622
66,-60.310544557743164
67,-59.56043613013114
68,-20.23850627194002
69,-26.774223603784794
70,-38.78278929578272
71,-10.025219596679932
72,-17.111117453992115
73,-33.01978258699109
74,-36.66514675396444
75,-11.276320802023452
76,-21.4887579314643
77,-45.53201254635083
78,-48.557108464141
79,-49.707767012226235
80,13.962961543416123
81,-47.13226963126024
82,-10.782959701100257
83,-37.080466225480635
84,-22.673040838496487
85,-1.9282467743977314
86,-25.01311238106113
87,-72.16682565030793
88,-11.13858152400703
89,-44.25585555485248
90,-10.61180233709714
91,-22.82264215723005
92,6.278018173386073
93,9.406705070234988
94,-33.16321786569349
95,8.387064001690009
96,-15.311090908232496
97,-30.697803740467975
98,-9.42623943826011
99,-6.961088712215294
100,-140.6327673278707
101,-6.482703620990545
102,-197.8538473888105
103,-139.33461510563552
104,-24.172235692030416
105,-20.47633311848465
106,-26.089221871071878
107,-1.5145842217368046
108,-57.54941054313574
109,-23.486375986484102
110,1.9293331629996344
111,-2.8297387119872677
112,4.633296352602186
113,-55.38716986209478
114,-43.663393447807614
115,27.161524937501568
116,-12.513416747057375
117,-5.0203518959280755
118,-35.34694693316175
119,-34.39095605331327
120,-28.160974135847642
121,-14.503673138056234
122,-36.350839101756954
123,-35.47423643889882
124,-43.4735702883839
125,-27.911427484891107
126,-33.54083289992501
127,-8.41578725971254
128,-50.28565008355948
129,-7.619411806346665
130,-31.819473556496533
131,-7.425129246620868
132,-38.05434973678325
133,-41.59211589770521
134,-29.542699478620797
135,-20.89516680311172
136,-27.873952617447696
137,25.055573651101774
138,-12.341234516426447
139,-16.396392669194856
140,-20.247011722703874
141,-55.73706545493989
142,-11.361512682146468
143,-13.513987403138358
144,-4.292379914647761
