Scores,Steps
51.76114823,55
60.58940888,49
30.51134544,15
40.0237103,27
38.56225288,26
55.15263804,41
49.08417822,32
38.50160591,28
25.94830756,31
25.19423533,13
25.4460647,10
18.97105461,6
19.54586286,6
19.52888767,6
14.5032862,5
14.17615458,5
14.89154116,5
14.13106362,5
13.2385171,5
15.15878553,5
11.63738215,5
14.14530402,5
12.18016088,5
13.50855771,5
12.83711526,5
12.1523408,5
13.49083709,5
11.17727569,5
12.23056626,5
11.42065133,5
13.14476394,5
12.44641307,5
13.86151335,5
12.39402585,5
11.49926194,5
12.03428197,5
13.12682706,5
12.720636,5
12.86515672,5
14.1494023,5
13.71393891,5
14.45960869,5
13.56293118,5
12.98938179,5
13.15578118,5
14.51039599,5
15.42565282,5
13.42684357,4
16.44782655,5
13.11727973,4
16.75484689,5
16.86057171,5
16.73869241,5
16.79038292,5
16.96453577,5
17.24329093,5
13.49233456,4
16.86188621,5
12.97609439,4
12.98769804,4
13.05761049,4
12.72706061,4
13.13543387,4
12.97752567,4
13.22627079,4
12.59623676,4
13.09922689,4
12.6969803,4
13.08392159,4
12.69814313,4
12.76006371,4
12.27981742,4
12.5732171,4
12.73528833,4
12.84777104,4
12.57750475,4
12.76364421,4
12.83548443,4
12.41302932,4
12.8396144,4
12.27104312,4
12.45202602,4
12.77691644,4
12.57847928,4
12.39735328,4
13.17865318,4
12.56245451,4
11.5829012,4
12.87642737,4
12.9134897,4
12.43636571,4
12.10493896,4
12.14998121,4
12.66258353,4
12.78830361,4
12.94000654,4
12.97146053,4
12.61895608,4
12.82809162,4
11.75062155,4
12.91953588,4
12.74630802,4
12.22734761,4
12.73568077,4
11.59276689,4
12.37011108,4
11.79896191,4
12.92699587,4
12.38130508,4
12.3352342,4
12.51556424,4
12.79625667,4
12.60053918,4
12.83094604,4
12.61527798,4
12.86788968,4
12.69896609,4
12.75250183,4
12.00854147,4
12.82340974,4
13.08582585,4
12.42237057,4
12.08544583,4
12.77716498,4
12.12861606,4
12.81154471,4
12.60148919,4
12.7492315,4
12.31217646,4
12.52491513,4
9.801425152,4
12.45687742,4
12.05563784,4
12.28761418,4
12.07428376,4
11.93148727,4
12.71238025,4
12.88506977,4
10.84125561,4
12.23888189,4
11.64942517,4
12.50869632,4
12.16907421,4
12.59324573,4
12.67533096,4
12.72096742,4
12.55375338,4
12.56311185,4
12.77560437,4
12.32506552,4
12.53897598,4
11.98255401,4
11.58318978,4
12.16406726,4
11.29879616,4
12.94714017,4
12.53465737,4
12.09131116,4
12.33572413,4
12.82697563,4
12.59620272,4
12.75817311,4
12.75200824,4
8.434177514,4
12.084838,4
12.39276366,4
12.99558879,4
12.98050935,4
12.13675097,4
12.17464103,4
12.1925763,4
12.35559936,4
10.83876687,4
10.89429959,4
11.92984736,4
12.59686792,4
12.26265677,4
12.46789683,4
12.78823736,4
12.86578556,4
13.1478659,4
12.50824137,4
12.46783407,4
12.08940203,4
12.24075955,4
12.64396014,4
12.7277455,4
12.29846918,4
12.65151398,4
12.55317602,4
12.48218644,4
13.03795551,4
12.60589613,4
11.5553642,4
11.87755051,4
12.7730797,4
12.04458882,4
12.80422389,4
12.58740851,4
12.74810673,4
11.71412455,4
12.59863506,4
11.7343988,4
12.014647,4
12.99807166,4
12.59372788,4
12.71528626,4
12.78753431,4
12.56488632,4
12.80351621,4
12.33310383,4
12.14679234,4
12.79165611,4
12.36760128,4
12.05269586,4
11.81655682,4
11.98543864,4
7.619005918,4
12.46858481,4
11.93864805,4
12.60421079,4
12.44688107,4
12.09139522,4
12.386192,4
11.86000882,4
13.15158321,4
12.7512062,4
11.95028432,4
12.0899444,4
12.55587088,4
12.76244273,4
12.24167668,4
12.73544216,4
12.58469837,4
12.02340331,4
11.25923723,4
12.57096694,4
10.73031594,4
12.88712753,4
12.72371863,4
12.18004532,4
9.933489364,4
12.60648338,4
12.04518182,4
11.80993524,4
11.94225535,4
13.01334342,4
12.70605129,4
11.99194836,4
12.83839663,4
11.85630793,4
12.40671357,4
11.66027647,4
12.1221898,4
12.65362287,4
12.19296112,4
11.12088496,4
12.23459719,4
13.02641262,4
11.74285669,4
12.45799662,4
12.15254054,4
12.79544996,4
12.74217359,4
12.49759199,4
11.96655547,4
12.28595441,4
12.41974602,4
12.58168801,4
12.24261835,4
12.82543252,4
12.51168419,4
12.89490541,4
12.14009309,4
