Scores,Steps
36.01415251,19
47.16077971,35
32.18450607,16
41.61756479,27
34.96773222,22
38.11977872,27
44.91078534,26
39.90681174,24
104.2498698,92
19.08941552,6
20.17855841,6
20.08832101,6
16.99017827,5
16.84047933,5
16.28631914,5
16.74624352,5
16.53611791,5
16.34219909,5
15.69210947,5
16.26344618,5
15.95241548,5
12.46579102,4
13.18267686,4
12.30241801,4
12.05191561,4
12.33335707,4
13.18536034,4
12.21671469,4
12.01904585,4
12.39450375,4
12.90593175,4
12.61705233,4
12.49778181,4
12.61349294,4
12.24994665,4
12.06054065,4
9.888706198,5
12.10997043,4
11.69100472,4
12.86539617,4
12.34474624,4
12.18387002,4
12.66862338,4
9.558861798,4
12.72824363,4
12.5811275,4
12.07827741,4
12.78921192,4
12.77417195,4
12.88933518,4
12.1915694,4
12.63059915,4
12.81304737,4
12.64646629,4
12.38002294,4
11.22642943,4
12.05170964,4
12.42632786,4
12.72005567,4
11.96680261,4
12.43345398,4
12.25655916,4
12.23673044,4
12.12760692,4
11.93575868,4
12.21127117,4
11.89228423,4
12.90676721,4
12.23917146,4
12.06258192,4
12.48256297,4
11.59475929,4
12.00407347,4
12.81695622,4
11.77335811,4
12.48469214,4
13.09862712,4
12.5529254,4
13.03764321,4
12.98965233,4
12.64574565,4
12.83372454,4
12.7097006,4
11.41142603,4
12.41561009,4
12.44281991,4
12.26357129,4
12.15431705,4
12.87165402,4
12.1170734,4
12.63004342,4
12.51257536,4
12.14456015,4
11.34785801,4
12.62004579,4
12.24331688,4
12.69631539,4
12.43259444,4
12.05846182,4
11.87156393,4
12.80574014,4
11.98027107,4
12.92694623,4
12.9108316,4
12.16998797,4
12.34346143,4
11.93862911,4
12.4892476,4
12.73627851,4
12.72684877,4
12.68758393,4
12.25233084,4
10.00395919,4
12.21621834,4
12.76036912,4
12.33370813,4
12.77213336,4
12.54615505,4
12.41427511,4
12.01553453,4
12.80666367,4
9.525746689,4
12.71732683,4
12.82402377,4
12.32135529,4
12.82181637,4
12.71826293,4
12.44457679,4
12.92747678,4
12.6268426,4
12.92685328,4
12.50294208,4
12.11593666,4
12.17066489,4
12.49402407,4
12.63799796,4
11.71615467,4
12.62516224,4
12.63966973,4
12.43010033,4
12.79474935,4
12.34528076,4
12.17551679,4
12.83005946,4
12.53780797,4
12.61027104,4
12.39217469,4
11.90426374,4
12.86134344,4
11.64724123,4
12.19606915,4
12.82165436,4
11.8033361,4
10.03537921,5
12.36255781,4
12.69759153,4
13.25027916,4
12.18967336,4
12.24300458,4
12.71831212,4
12.84304155,4
12.34857315,4
12.57449803,4
12.4625226,4
12.04159354,4
11.87702884,4
12.38322616,4
12.06697189,4
11.87642005,4
12.47272797,4
11.76782143,4
12.57010687,4
12.05538829,4
11.74186126,4
12.42789201,4
12.66988282,4
12.82408663,4
12.49461161,4
12.16161547,4
12.37150234,4
11.63152852,4
12.72343657,4
12.99647108,4
12.26148022,4
12.9601469,4
12.11462736,4
11.76576221,4
12.68286894,4
12.49328607,4
12.82352976,4
12.18402628,4
11.94351295,4
12.85927479,4
12.72592194,4
12.54309499,4
12.62267907,4
11.82412076,4
12.52061865,4
12.72561619,4
12.36626398,4
12.67160756,4
12.68241307,4
12.10784941,4
12.51733023,4
12.51887768,4
13.16545165,4
12.17878877,4
11.86314288,4
12.24719611,4
7.505504944,4
12.36524975,4
12.87255953,4
12.56165071,4
12.70315478,4
12.57229282,4
12.71337752,4
12.86092975,4
12.0120416,4
12.14983245,4
12.42410079,4
12.84873202,4
11.38343077,4
8.618166447,4
11.85426179,4
12.03129904,4
12.21990705,4
12.46521052,4
12.54531868,4
11.88910096,4
12.32636133,4
12.1807755,4
12.64541017,4
12.90553197,4
12.12218192,4
12.46282165,4
12.45640197,4
12.97976033,4
11.82401129,4
12.42217986,4
12.64121248,4
12.17748369,4
12.76958417,4
12.68168125,4
12.17698916,4
12.21783502,4
12.87308372,4
11.91239895,4
12.51850833,4
13.01620173,4
11.80433659,4
12.93933038,4
12.59038257,4
12.51959421,4
12.72021212,4
12.34380521,4
12.34572925,4
12.24627036,4
10.93283159,4
12.81751133,4
11.93156776,4
12.5178782,4
12.30008472,4
12.34593079,4
12.87623986,4
12.12873973,4
12.17340665,4
12.81239113,4
12.60036328,4
13.09634517,4
12.52723574,4
12.31330243,4
12.30050672,4
12.46559617,4
12.80941061,4
13.04782453,4
12.72116912,4
12.54544508,4
12.64846271,4
11.74679046,4
11.26537714,4
12.59071368,4
12.91656789,4
12.83349047,4
11.94061377,4
12.6207344,4
8.574721312,4
12.5795581,4
11.95860352,4
12.53323379,4
11.89087827,4
9.201676118,4
12.00276189,4
12.04602195,4
12.3924784,4
12.48676603,4
12.57076179,4
12.8591451,4
12.73354441,4
12.6970338,4
12.82898851,4
12.42789817,4
12.02731754,4
12.02455641,4
12.08261683,4
12.97299615,4
11.83221441,4
12.38373371,4
12.66761065,4
12.74319978,4
12.71471503,4
12.24039201,4
12.79357417,4
12.29117086,4
12.02084189,4
12.04385204,4
12.26176599,4
12.8619019,4
12.5325081,4
12.71296977,4
12.93381437,4
12.48161428,4
13.02378531,4
12.70019301,4
12.79074119,4
13.13022311,4
12.65354659,4
12.32329672,4
12.21437423,4
12.67631651,4
12.66934585,4
12.47410008,4
12.9397673,4
12.03101715,4
12.51525259,4
12.98526169,4
11.93785545,4
12.35125738,4
12.60793898,4
12.32551758,4
12.72991811,4
12.71006815,4
12.5084388,4
13.13840732,4
11.94849346,4
12.54810479,4
12.59616658,4
12.32765276,4
12.83633684,4
12.74105003,4
12.54102983,4
12.11219675,4
12.01224368,4
12.34312695,4
11.688904,4
12.61798988,4
11.92695433,4
12.14065217,4
12.8698475,4
12.09549429,4
12.61045163,4
12.64379799,4
9.764240825,4
12.05642933,4
12.21697732,4
11.89937439,4
9.766305937,4
12.8281263,4
11.83041344,4
12.36884975,4
11.82243511,4
12.66556264,4
9.648847687,4
12.34365432,4
12.56639185,4
12.52309134,4
12.88095182,4
12.49095723,4
12.32856159,4
12.55275229,4
11.58025064,4
11.57338332,4
12.70786032,4
12.61141415,4
12.04622037,4
12.64783085,4
12.27708357,4
11.77019671,4
10.44617978,4
11.98497219,4
13.06128213,4
12.38456022,4
12.67918146,4
10.86746327,4
9.333345192,4
12.00948006,4
12.19175329,4
12.77672028,4
12.61747993,4
12.00031037,4
12.71159925,4
12.25802376,4
12.20600027,4
12.69086908,4
12.69612341,4
11.25850108,4
12.2941465,4
11.79780514,4
11.7766916,4
12.28881736,4
12.8297172,4
12.36348881,4
12.87145223,4
12.11912807,4
12.63554951,4
12.8097322,4
12.12093468,4
12.63138631,4
7.709368774,4
12.64895312,4
12.46508719,4
12.80818493,4
12.30288329,4
12.24781753,4
12.84491513,4
12.88551181,4
11.96362616,4
12.49836789,4
12.05652963,4
12.28745235,4
12.8841993,4
12.03242,4
12.11467486,4
12.17738645,4
12.81925019,4
12.73305688,4
12.35188786,4
12.71021952,4
10.86954331,4
12.77058918,4
11.20553599,4
12.28327059,4
12.30578354,4
12.06729239,4
12.6684385,4
12.34388733,4
12.93055069,4
12.69468913,4
12.09073863,4
12.18452934,4
12.89923391,4
12.66439751,4
12.24132247,4
11.51179189,4
12.66335275,4
12.52502401,4
12.46947996,4
12.87072462,4
12.67561239,4
9.943497211,4
12.455694,4
12.68682638,4
11.57309027,4
12.99737597,4
12.7561413,4
11.94788592,4
12.12279499,4
11.95949902,4
12.92333754,4
12.7039232,4
9.819111838,4
12.09351908,4
11.96677417,4
11.65646914,4
12.7362101,4
12.38477072,4
12.01426281,4
11.84553488,4
11.82619916,4
12.05563873,4
12.73302101,4
12.22280625,4
12.77875685,4
12.73146758,4
10.33539784,4
12.91288397,4
12.25987038,4
12.14197164,4
12.5940536,4
12.85783415,4
12.66218896,4
12.91954775,4
11.79478452,4
12.41917482,4
12.2774743,4
10.64961073,4
11.8914753,4
12.74708007,4
11.74100399,4
12.6029635,4
11.66759596,4
12.3433483,4
12.01410665,4
9.876969417,4
12.91080704,4
12.57389264,4
12.03571515,4
11.96928889,4
12.70310195,4
11.81864071,4
12.79948285,4
12.01171286,4
12.48953485,4
11.78842046,4
11.75599807,4
11.80345504,4
12.16972792,4
12.72584085,4
12.20390879,4
11.8403296,4
11.36622834,4
11.63201576,4
12.32494959,4
12.27540739,4
11.83660245,4
11.73725902,4
11.98072105,4
12.31649243,4
11.49811628,4
12.62436176,4
12.58606819,4
12.32435933,4
11.69587955,4
12.88639701,4
12.42808963,4
12.40127459,4
11.72617615,4
12.53657362,4
12.72946036,4
8.119026731,4
12.06727013,4
12.06968513,4
11.8605768,4
12.83275696,4
11.70519852,4
12.26638675,4
12.72329674,4
12.33607176,4
12.69062842,4
12.31455979,4
11.89669146,4
12.76710949,4
12.63355338,4
12.04067037,4
12.38671071,4
12.38574975,4
12.2833498,4
12.84037299,4
12.54997933,4
12.1926197,4
11.9614334,4
12.26779817,4
12.78467165,4
12.93091919,4
12.37204685,4
12.59633697,4
12.87060757,4
11.82919449,4
12.80120746,4
12.19451717,4
12.13842104,4
12.58010189,4
12.87150653,4
11.72309477,4
12.5646851,4
11.84189275,4
12.23964789,4
10.26631685,4
12.28629163,4
12.36692992,4
11.99669621,4
12.33933704,4
12.61421467,4
12.99266067,4
12.75043596,4
11.76752791,4
10.44075989,4
8.953123652,4
12.45594136,4
11.94653309,4
12.45333241,4
12.9491378,4
12.67556552,4
12.43744676,4
12.86737039,4
12.64537066,4
12.45474448,4
12.26990084,4
10.78537821,4
11.66140365,4
12.81939006,4
12.53312179,4
10.73897356,4
12.84671797,4
12.99366336,4
12.00962886,4
12.0056014,4
12.68693799,4
12.07001918,4
12.21499237,4
12.07285048,4
11.37934721,4
12.57482775,4
12.30673307,4
11.90108181,4
12.273861,4
13.07326105,4
12.5626521,4
12.55339755,4
12.87614922,4
12.84707493,4
11.94566909,4
12.67160361,4
12.42128115,4
11.5705394,4
12.20934825,4
12.56169959,4
12.04986418,4
11.77875141,4
12.77473474,4
12.3453319,4
11.29343018,4
10.9548404,4
12.5593154,4
12.84283294,4
12.49656433,4
12.18281627,4
12.70987184,4
11.79953628,4
12.66893055,4
12.42753649,4
12.45996304,4
12.19670323,4
11.99556181,4
12.39766015,4
12.29980651,4
12.2324254,4
12.07708917,4
11.8632641,4
12.42516205,4
12.3103363,4
12.44578732,4
12.80980931,4
12.73516322,4
11.98824049,4
11.90814398,4
12.15715718,4
12.68889912,4
12.73090402,4
11.80563159,4
12.79267774,4
12.81804968,4
12.65219054,4
12.78391639,4
12.46841822,4
12.43896474,4
12.09057715,4
12.45218729,4
12.6756506,4
12.55797524,4
12.65088738,4
12.87971474,4
12.1080245,4
12.93541991,4
12.82877441,4
11.77370988,4
12.23069761,4
12.40434091,4
12.77232403,4
12.09704988,4
11.94498322,4
12.20660971,4
12.49963808,4
12.4989515,4
12.05104671,4
13.00559777,4
